Keyword,Volume,Organic traffic,Paid traffic,Average position,Locations,Top location,Top location code,Top location's volume,Top location's traffic
robux to usd,16470,3937,0,1.70,30,United States,US,14000,3365
devex calculator,6440,2301,0,1.00,16,Canada,CA,1200,425
robux calculator,4810,752,0,2.29,17,United States,US,1700,355
devex roblox,4950,443,0,2.28,32,United States,US,2000,91
devex rates,1160,417,0,1.00,10,United States,US,700,257
robux converter,1310,323,0,1.55,11,Canada,CA,200,81
robux to money converter,750,283,0,1.50,6,United States,US,600,236
robux to usd converter,390,245,0,1.40,5,United States,US,350,238
robux to usd calculator,2110,243,0,2.67,3,United States,US,2100,242
roblox devex calculator,580,213,0,1.00,5,United States,US,350,136
1 million robux to usd,1550,186,0,1.00,3,United States,US,1500,180
robux to usd conversion,450,158,0,1.00,1,United States,US,450,158
roblox dev exchange,100,138,0,1.00,1,United States,US,100,138
roblox devex,1740,106,0,2.19,27,France,FR,90,13
devex rate,260,100,0,1.00,4,United States,US,150,59
10000 robux to usd,600,89,0,3.00,1,United States,US,600,89
devex to usd,210,86,0,1.00,2,United States,US,200,81
roblox devex rates,480,85,0,1.60,5,United States,US,400,59
devex calc,200,75,0,1.00,1,United States,US,200,75
dev ex calc,200,74,0,1.00,1,United States,US,200,74
devex converter,180,72,0,1.00,3,United States,US,150,63
1000 robux to usd,700,66,0,1.00,1,United States,US,700,66
robux conversion rate,430,62,0,1.50,4,United States,US,350,51
dev x calculator,100,62,0,1.00,1,United States,US,100,62
200 robux to usd,600,55,0,1.00,1,United States,US,600,55
robux devex calculator,160,54,0,1.00,2,United States,US,150,50
30000 robux to usd,300,54,0,1.00,1,United States,US,300,54
devex calculator roblox,150,53,0,1.00,1,United States,US,150,53
devex,5620,52,0,2.83,23,Brazil,BR,1000,18
roblox to usd,370,52,0,2.67,3,United States,US,350,50
50k robux to usd,360,52,0,1.00,2,United States,US,350,51
devex robux,160,50,0,1.00,2,United States,US,150,46
200k robux to usd,300,47,0,3.00,1,United States,US,300,47
dev ex calculator,130,46,0,1.00,3,United States,US,80,30
dev ex rates,210,45,0,1.25,4,United States,US,150,21
10 million robux to usd,500,45,0,2.00,2,United States,US,500,45
1.5 million robux to usd,300,45,0,1.00,1,United States,US,300,45
30k robux to usd,350,42,0,1.00,1,United States,US,350,42
devex exchange rate,110,40,0,1.00,2,United States,US,70,27
